"","predicate","X","adjective_intercept","verb_intercept","noun_intercept","adjective_response","verb_response","noun_response","(Intercept).x","containsSubjectiveAdjective.Centered.x","(Intercept).y","containsSubjectiveAdjective.Centered.y"
"40","preathe",40,0.388387923091581,0.592754992153975,0.356601892445851,0.228571428571429,0.714285714285714,0.248571428571429,NA,NA,NA,NA
"41","rhould",41,0.480229122317636,0.441504945020013,0.39449073296917,0.565454545454545,0.434545454545455,0.363636363636364,0.252792411051952,-0.00537961820688831,0.252792410523657,-0.00537961725565828
"42","scorcs",42,0.394206633358159,0.429643272646304,0.540122223378171,0.29625,0.40375,0.57125,NA,NA,NA,NA
"43","scrib",43,0.428278963236199,0.545442846521034,0.446846504878869,0.41,0.62,0.41625,0.26331846153434,-0.0102862187276205,0.263318451974208,-0.0102862139032097
"44","slalps",44,0.390758890178118,0.519525350477113,0.480379030734542,0.164,0.648,0.458,NA,NA,NA,NA
"45","snurts",45,0.388449027570855,0.534129243589991,0.534346385573696,0.252,0.566,0.553,0.156673640440966,0.0394250700017697,0.156673701197321,0.0394250454623393
"46","spraived",46,0.45529977025464,0.523510745596178,0.353637888137409,0.5025,0.6075,0.1975,NA,NA,NA,NA
"47","spunes",47,0.406755660209811,0.453266734209512,0.568605004863853,0.293333333333333,0.415555555555556,0.601111111111111,0.246743001671437,-0.00255975378896433,0.246743007098799,-0.00255975542027204
"48","spyck",48,0.482678766489278,0.406216658740149,0.506336500622682,0.585,0.375,0.508,NA,NA,NA,NA
"49","squalf",49,0.454101751961126,0.564124817608131,0.335982090625067,0.545,0.677,0.293,NA,NA,NA,NA
"50","therv",50,0.514917411826791,0.460210721312752,0.38677698422687,0.696666666666667,0.451111111111111,0.337777777777778,NA,NA,NA,NA
"51","thomps",51,0.411566710753178,0.548712584889884,0.466430200110231,0.302,0.71,0.48,NA,NA,NA,NA
"52","toch",52,0.42088444328394,0.48333921345311,0.543668157756675,0.38,0.54,0.577142857142857,0.252604495268697,-0.00529202336953563,0.252604495001325,-0.00529202253391711
"53","trafes",53,0.439969690295693,0.490065382377726,0.38097373016919,0.492857142857143,0.542857142857143,0.272857142857143,0.300940869764242,-0.0278234828820055,0.300940828590588,-0.0278234645254927
"54","trunce",54,0.456647784202534,0.543780375519443,0.419744751031235,0.53125,0.63625,0.375,NA,NA,NA,NA
"55","twad",55,0.497504146296244,0.351057585484951,0.552368927731757,0.632222222222222,0.28,0.621111111111111,0.247668107891856,-0.0029909816906772,0.247668112572141,-0.00299098300335315
"56","twawls",56,0.461084548513158,0.424620933695561,0.516046225834009,0.52,0.336666666666667,0.545,0.253160678951354,-0.00555128216289896,0.253160679216571,-0.00555128159334258
"57","twell",57,0.43132044932763,0.580635868891973,0.383984570129316,0.356,0.754,0.284,0.297292723798067,-0.026122940505994,0.297292686019947,-0.0261229236155046
"58","yafs",58,0.416558913086549,0.558576922914187,0.435549868095819,0.34,0.638571428571429,0.367142857142857,0.254076737418448,-0.00597829255575093,0.254076734205741,-0.00597829039431833
"59","yunt",59,0.40529097687356,0.451700692846425,0.592191879685823,0.31625,0.44875,0.6575,0.252668308369223,-0.00532176913151873,0.252668307982487,-0.00532176824230258
