workerid	response_2	response_3	predicate1	response_1	slide_number
4	0.17	0.76	kolch	0.14	20
4	0.63	0.47	blef	0.24	21
4	0.63	0.42	cref	0.2	22
4	0.15	0.1	heaned	0.87	23
4	0.17	0.76	milbed	0.15	24
4	0.11	0.09	snurts	0.82	25
4	0.1	0.29	scrib	0.76	26
4	0.14	0.77	gwigs	0.08	27
4	0.75	0.32	rhould	0.1	28
4	0.16	0.84	irv	0.11	29
4	0.16	0.25	gelt	0.8	30
4	0.56	0.5	jaund	0.24	31
4	0.11	0.34	physs	0.7	32
4	0.17	0.83	niege	0.14	33
5	0.14	0.51	broff	0.65	4
5	0.6	0.78	scrib	0	5
5	0.53	0	toch	1	6
5	0.79	0.32	cuint	0.82	7
5	1	0	yafs	0	8
5	0.73	0.69	physs	0.26	9
5	0.57	1	scorcs	0	10
5	0.47	0.02	dwake	1	11
5	0.64	1	gwigs	0	12
5	0	1	grirped	0	13
5	0.31	0	gelt	0.5	14
5	0.41	0.78	ghoice	0	15
5	0.46	1	jite	0	16
5	1	0.25	juints	0.42	17
5	0.72	0	praife	0.36	18
5	0	0	plach	1	19
5	0.95	0	spunes	0.46	20
5	0.61	0	joids	1	21
5	1	0.74	squalf	0.16	22
5	0.42	1	brame	0	23
5	0	0	yunt	1	24
5	1	0.67	milbed	0	25
5	0	0	lann	1	26
5	0.58	0	muic	1	27
5	0	0	brirk	1	28
5	1	0.35	spyck	0	29
5	1	0.28	trafes	0.2	30
5	1	0	phoys	0	31
5	0.6	0	duilts	1	32
5	0.6	1	ceched	0.28	33
6	0.06	0.63	anns	0	4
6	0.41	0.23	milbed	0.26	5
6	0.29	0.43	brame	0.66	6
6	0.39	0.45	irv	0.28	7
6	0.29	0.37	juints	0.56	8
6	0.33	0.61	fruith	0.31	9
6	0.54	0.38	therv	0.29	10
6	0.38	0.26	twell	0.6	11
6	0.42	0.23	glab	0.58	12
6	0.81	0.28	gelt	0.07	13
6	0.18	0.43	trunce	0.57	14
6	0.32	0.72	plach	0.43	15
6	0.69	0.44	twawls	0.23	16
6	0.48	0.24	jite	0.22	17
6	0.38	0.49	scrib	0.64	18
6	0.65	0.46	snurts	0.29	19
6	0.51	0.58	joids	0.32	20
6	0.33	0.37	preathe	0.68	21
6	0.29	0	niege	0.5	22
6	0.43	0.6	fonns	0.09	23
6	0.15	0.51	gwigs	0.09	24
6	0.45	0.13	kolch	0.15	25
6	0.11	0.26	muic	0.66	26
6	0.37	0.06	fict	0.11	27
6	0.37	0.46	lann	0.07	28
6	0.07	0.26	hafs	0.56	29
6	0.06	0.51	rhould	0.04	30
6	0.72	0.32	physs	0.08	31
6	0.52	0.14	scorcs	0.02	32
6	0.06	0.42	brirk	0.71	33
7	0	0.85	physs	0.74	4
7	0.16	0.79	niege	0.62	5
7	0	0.91	snurts	0.78	6
7	0.22	0.75	clou	0.29	7
7	0.46	0.74	phoys	0.62	8
7	0.6	0.82	milbed	0.9	9
7	0.15	0.95	fonns	0.06	10
7	0.28	0.6	juints	0.44	11
7	0.5	0.61	jite	0.87	12
7	0.14	0.78	scrib	0.39	13
7	0.64	0.84	brame	0.1	14
7	0.43	0.69	fict	0.31	15
7	0.58	0.8	twad	0.84	16
7	0.71	0.85	blef	0.08	17
7	0.13	0.69	praife	0.3	18
7	0.27	0.75	irv	0.17	19
7	0.66	0.31	spraived	1	20
7	1	0.75	fruith	0	21
7	0.59	0.7	glab	0.78	22
7	0.15	0.79	broff	0.31	23
7	0.06	0.82	anns	0.06	24
7	0	0.74	lann	0.56	25
7	0.33	0.97	cuint	0.82	26
7	0.33	0.8	crooch	0.83	27
7	0.34	0.77	rhould	0.62	28
7	0.31	0.76	grirped	1	29
7	0.2	0.65	thomps	0.62	30
7	0.41	0.86	gelt	0.25	31
7	0.38	0.51	squalf	0.82	32
7	0.78	0.41	heaned	1	33
8	0.98	0.06	spunes	0.06	4
8	0.19	0.81	jaund	0.08	5
8	0.93	0.16	plach	0.19	6
8	0.14	0.19	gelt	0.78	7
8	0.24	0.24	spyck	0.73	8
8	0.85	0.19	fict	0.17	9
8	0.13	0.14	ceched	0.75	10
8	0.89	0.13	glab	0.14	11
8	0.21	0.72	physs	0.21	12
8	0.04	0.07	lised	0.81	13
8	0.95	0.05	duilts	0.06	14
8	0.92	0.16	gwigs	0.08	15
8	0.87	0.17	yafs	0.22	16
8	0.98	0.16	broff	0.1	17
8	0.16	0.15	muic	0.77	18
8	0.17	0.18	preathe	0.78	19
8	0.92	0.1	slalps	0.14	20
8	0.08	0.96	clou	0.13	21
8	0.82	0.12	trafes	0.21	22
8	0.15	0.82	therv	0.12	23
8	0.87	0.2	snurts	0.92	24
8	0.1	0.86	kolch	0.11	25
8	0.12	0.15	twell	0.86	26
8	0.2	0.2	scorcs	0.81	27
8	0.89	0.19	twad	0.51	28
8	0.88	0.31	phoys	0.63	29
8	0.17	0.15	fruith	0.72	30
8	0.24	0.22	bamn	0.74	31
8	0.05	0.93	brirk	0.04	32
8	0.22	0.18	cref	0.71	33
