workerid	response_2	response_3	predicate1	response_1	slide_number
2	0.68	0.68	gelt	0.41	18
2	0.46	0.46	spraived	0.31	19
2	0.54	0.56	irv	0.86	20
2	0.74	0.63	jaund	0.7	21
2	0.77	0.79	fict	0.52	22
2	0.87	0.83	broff	0.65	23
2	0.83	0.79	ghoice	0.63	24
2	0.24	0.49	squalf	0.67	25
2	0.79	0.6	scrib	0.3	26
2	0.7	0.71	twawls	0.64	27
2	0.41	0.74	therv	0.83	28
2	0.77	0.51	joids	0.58	29
2	0.64	0.77	plach	0.69	30
2	0.54	0.71	physs	0.78	31
2	0.88	0.81	crooch	0.48	32
2	0.79	0.21	cuint	0.87	33
3	0.07	0.33	crooch	0.82	4
3	0.78	0.5	milbed	0.17	5
3	0.2	0.78	anns	0.07	6
3	0.19	0.84	brame	0.28	7
3	0.39	0.2	grirped	0.95	8
3	0.4	0.75	praife	0.21	9
3	0.26	0.76	phoys	0.16	10
3	0.73	0.46	rhould	0.2	11
3	0.87	0.48	glab	0.07	12
3	0.16	0.59	niege	0.93	13
3	0.87	0.66	twad	0.12	14
3	0.09	0.83	duilts	0.3	15
3	0.37	0.66	twawls	0.8	16
3	0.68	0.46	cref	0.21	17
3	0.72	0.71	plach	0.32	18
3	0.7	0.47	bamn	0.4	19
3	0.57	0.85	juints	0.16	20
3	0.47	0.32	squalf	0.69	21
3	0.55	0.69	kolch	0.26	22
3	0.53	0.73	physs	0.22	23
3	0.67	0.4	ghoice	0.23	24
3	0.84	0.46	gelt	0.27	25
3	0.52	0.43	clou	0.85	26
3	0.75	0.92	trunce	0.3	27
3	0.46	0.29	lised	0.91	28
3	0.25	0.79	yafs	0.54	29
3	0.72	0.46	spyck	0.36	30
3	0.46	0.57	olm	0.27	31
3	0.64	0.42	lann	0.55	32
3	0.45	0.12	ceched	0.91	33
4	0.36	0.64	fonns	0.85	4
4	0.79	0.29	lann	0.14	5
4	0.45	0.19	praife	1	6
4	0.61	0.26	toch	0.77	7
4	0.98	0.38	milbed	0.69	8
4	0.29	0.89	clou	0.08	9
4	0.69	0.75	muic	0.23	10
4	0.26	0.96	heaned	0.03	11
4	0.83	0.49	squalf	0.09	12
4	0.42	0.76	broff	0.73	13
4	0.6	0.97	trunce	0.13	14
4	0.48	0.88	ceched	0.26	15
4	0.85	0.72	cuint	0.49	16
4	0.71	0.35	physs	0.22	17
4	0.37	0.85	snurts	0.05	18
4	0.68	0.41	twad	0.18	19
4	0.56	0.38	gelt	1	20
4	0.66	0.33	blef	0.17	21
4	0.77	0.53	brame	0.22	22
4	0.88	0.68	fruith	0.25	23
4	0.64	0.76	brirk	0.94	24
4	0.71	0.98	gwigs	0.35	25
4	0.38	0.96	cref	0.09	26
4	0.84	0.56	trafes	0.26	27
4	0.35	0.89	phoys	0.56	28
4	0.68	0.45	hafs	0.18	29
4	0.96	0.14	rhould	0.15	30
4	0.41	0.87	lised	0.06	31
4	0.92	0.68	olm	0.43	32
4	0.36	0.85	slalps	0.16	33
5	0.28	0.74	spyck	0.22	4
5	0.73	0.26	ceched	0.21	5
5	0.31	0.31	duilts	0.73	6
5	0.34	0.35	rhould	0.63	7
5	0.72	0.6	hafs	0.34	8
5	0.64	0.54	cuint	0.31	9
5	0.11	0.25	plach	0.68	10
5	0.23	0.26	squalf	0.49	11
5	0.59	0.46	heaned	0.32	12
5	0.65	0.54	lann	0.27	13
5	0.25	0.47	snurts	0.69	14
5	0.29	0.52	preathe	0.23	15
5	0.33	0.36	therv	0.64	16
5	0.25	0.22	kolch	0.7	17
5	0.64	0.11	phoys	0.43	18
5	0.79	0.54	yafs	0.35	19
5	0.72	0.26	lised	0.25	20
5	0.13	0.25	gelt	0.78	21
5	0.42	0.77	toch	0.18	22
5	0.49	0.45	broff	0.45	23
5	0.25	0.36	gwigs	0.84	24
5	0.47	0.67	grirped	0.48	25
5	0.76	0.25	juints	0.12	26
5	0.75	0.37	fict	0.44	27
5	0.41	0.75	spunes	0.48	28
5	0.37	0.5	bamn	0.76	29
5	0.69	0.26	joids	0.25	30
5	0.36	0.72	blef	0.52	31
5	0.69	0.17	niege	0.2	32
5	0.23	0.37	dwake	0.81	33
6	0.75	0.3	duilts	0.21	4
6	0.61	0.27	therv	0.7	5
6	0.16	0.89	squalf	0.33	6
6	0.39	0.26	juints	0.85	7
6	0.55	0.24	jaund	0.76	8
6	0.9	0.29	yunt	0.23	9
6	0.94	0.3	gwigs	0.15	10
6	0.26	0.25	twawls	0.63	11
6	0.77	0.74	brirk	0.28	12
6	0.41	0.41	anns	0.7	13
6	0	0.96	grirped	0.13	14
6	0.28	0.92	preathe	0.17	15
6	0.94	0.08	milbed	0.07	16
6	0.37	0.14	jite	0.69	17
6	0.4	0.52	praife	0.6	18
6	0.82	0.2	niege	0.16	19
6	0.36	0.12	olm	0.8	20
6	0.08	0.94	ceched	0.09	21
6	0.9	0.12	blef	0.13	22
6	0.73	0.56	ghoice	0.11	23
6	0.11	0.45	lised	0.65	24
6	0.47	0.47	fonns	0.65	25
6	0.05	0.48	muic	0.8	26
6	0.85	0.46	glab	0.08	27
6	0.46	0.67	trunce	0.11	28
6	0.78	0.26	joids	0.1	29
6	0.49	0.5	fict	0.75	30
6	0.72	0.65	gelt	0.18	31
6	0.4	0.25	bamn	0.72	32
6	0.8	0.2	hafs	0.46	33
7	0.7	0.97	spyck	0.06	4
7	0.88	0.71	toch	0.38	5
7	0.42	0.6	broff	0.96	6
7	0.74	0.04	rhould	0.12	7
7	0.45	0.93	scorcs	0.05	8
7	0.43	0.97	yunt	0.66	9
7	0.76	0.83	spunes	0.42	10
7	0.8	0.56	squalf	0.31	11
7	0.96	0.28	hafs	0.38	12
7	0.06	0.9	brirk	0.05	13
7	0.37	0.84	fict	0.6	14
7	0.96	0.07	grirped	0.62	15
7	0.95	0.35	yafs	0.57	16
7	0.68	0.52	twell	0.43	17
7	0.73	0.57	thomps	0.49	18
7	0.95	0.69	lised	0.51	19
7	0.53	0.79	anns	0.03	20
7	0.33	0.47	fruith	0.77	21
7	0.37	0.67	slalps	0.02	22
7	0.03	0.92	kolch	0.03	23
7	0.32	0.94	twad	0.61	24
7	0.86	0.18	trunce	0.54	25
7	0.37	0.04	gelt	0.29	26
7	0.74	0.74	therv	0.25	27
7	0.29	0.94	lann	0.09	28
7	0.99	0.76	glab	0.68	29
7	0.87	0.27	trafes	0.52	30
7	0.69	0.97	snurts	0.27	31
7	0.72	0.94	gwigs	0.33	32
7	0.71	0.23	cref	1	33
