workerid	adjective	free_input	slide_number	item	response
6	mini		12	ID7620444210769237649	[0.87, 0.84, 0.51, 0.54, 0.87, 0.88]
6	everyday		13	ID-4810643076988924172	[0.92, 0.87, 0.38, 0.36, 0.86, 0.59]
7	civilized	He&quotechars suggesting low rates of science and math, are uncivilized.	4	ID4313822769552962728	[1, 0.51, 0.86, 0.85, 0.44, 0.58]
7	junior		5	ID670607331089613723	[1, 0.28, 0.46, 0.5, 0.62, 0.73]
7	junior		6	ID5208073789966974437	[0.96, 0.23, 0.42, 0.43, 0.5, 0.54]
7	square		7	ID8496214843024943527	[1, 0.34, 0, 0, 0.61, 1]
7	fast	Because when he bought the computer it was slow.	8	ID-1516457079377751776	[1, 0.36, 0.62, 0.7, 0.63, 0.47]
7	civilized		9	ID-1678381377618753752	[0.71, 0.38, 0.52, 0.52, 0.62, 0.46]
7	big		10	ID-4999567967938837702	[1, 0.44, 0.76, 0.77, 0.54, 0.58]
7	exciting		11	ID6242641168536393349	[1, 0.46, 0.79, 0.75, 0.58, 0.48]
7	big		12	ID-4125339825562667333	[1, 0.42, 0.54, 0.54, 0.43, 0.54]
7	fast		13	ID-5445483572657243526	[0.96, 0.62, 0.78, 0.65, 0.58, 0.53]
7	square		14	ID-7493961569361533624	[0.96, 0.56, 0.02, 0.02, 0.7, 0.98]
