workerid	adjective	free_input	slide_number	item	response
6	circular		16	ID-9109516893564511929	[0.82, 0.75, 0, 0.04, 0.14, 0.82]
6	soft		17	ID-3050424516553022375	[0.55, 0.54, 0.84, 0.4, 0.18, 0.54]
6	big		18	ID-7411618960371568348	[0.8, 0.4, 0.03, 0, 0.69, 0.62]
6	soft		19	ID5990462742579204082	[0.84, 0.72, 0.88, 0.65, 0.22, 0.62]
6	sad		20	ID-3211473420541764294	[0.75, 0.26, 0.71, 0.73, 0.2, 0.3]
7	sad		3	ID3049645570002279829	[0.7, 0.68, 0.76, 0.77, 0.75, 0.62]
7	big		4	ID-369277350374939410	[0.55, 0.48, 0.68, 0.68, 0.62, 0.62]
7	pleasant		5	ID-6296922469614579873	[0.76, 0.76, 0.76, 0.76, 0.67, 0.66]
7	pleasant		6	ID-3778400048685152067	[0.78, 0.78, 0.77, 0.77, 0.77, 0.56]
7	green		7	ID-6868016960645853037	[0.72, 0.54, 0.26, 0.26, 0.26, 0.78]
7	sad		8	ID2706282012908651006	[0.72, 0.53, 0.78, 0.79, 0.54, 0.6]
7	potential		9	ID-2083450061898498757	[0.42, 0.26, 0.08, 0.08, 0.2, 0.76]
7	mixed		10	ID-8955295701685826659	[0.55, 0.12, 0.09, 0.09, 0.3, 0.79]
7	green		11	ID-9149515788999811206	[0.6, 0.61, 0.22, 0.22, 0.78, 0.74]
7	big		12	ID2611616353155123848	[0.56, 0.56, 0.55, 0.33, 0.5, 0.58]
7	mixed		13	ID8052979343528890457	[0.58, 0.16, 0.15, 0.15, 0.35, 0.77]
7	potential		14	ID3109804033913720730	[0.3, 0.19, 0.09, 0.08, 0.58, 0.79]
7	thin		15	ID8009069824746517428	[0.62, 0.4, 0.64, 0.18, 0.38, 0.8]
7	designated		16	ID-5997516836516266787	[0.08, 0.08, 0.09, 0.08, 0.2, 0.58]
8	Vietnamese		3	ID2393684748621037592	[0.2, 0.18, 0.53, 0.24, 0, 0.01]
8	long		4	ID-8562293147359456031	[0.58, 0.06, 0.24, 0.21, 0.4, 0.57]
8	soft		5	ID5990462742579204082	[0.79, 0.26, 0.44, 0.26, 0.55, 0.69]
8	Vietnamese		6	ID7466155384337495557	[0.64, 0.48, 0.09, 0.08, 0.67, 0.6]
8	big		7	ID4232653190935264157	[0.82, 0.33, 0.7, 0.7, 0.7, 0.44]
8	internal		8	ID-4630982822800914302	[0.83, 0.12, 0.13, 0.12, 0.68, 0.82]
8	huge		9	ID-6513991410225992506	[0.66, 0.12, 0.3, 0.29, 0.4, 0.53]
8	exciting		10	ID6242641168536393349	[0.6, 0.17, 0.77, 0.77, 0.4, 0.68]
8	internal		11	ID-1762190604554984548	[0.56, 0.13, 0.14, 0.15, 0.61, 0.74]
8	long		12	ID1704974323065999450	[0.6, 0.15, 0.56, 0.56, 0.61, 0.48]
8	big		13	ID-6536357275093926646	[0.56, 0.17, 0.27, 0.2, 0.32, 0.4]
8	huge		14	ID309399629601298850	[0.56, 0.13, 0.48, 0.52, 0.28, 0.4]
8	soft		15	ID6810108675214841312	[0.64, 0.33, 0.44, 0.47, 0.24, 0.61]
