workerid	relevant_adjective_id	relevant_adjective	text	correct2	slide_number	correct1	predicate2	predicate1	response
1	NA	broff	I really don&quotechart like ships like this...	NA	17	NA	kolch	broff	0.69
1	NA	NONE	My friend used to fly this...	NA	18	NA	red	broff	0.85
1	NA	NONE	On our planet, many aliens fly ships like this...	NA	19	NA	red	kolch	0.73
1	NA	broff	You like it? Wow, I hate flying this...	NA	20	NA	broff	red	0.21
1	NA	kolch	My first ship had the same shape as this...	NA	21	NA	kolch	green	0.83
1	NA	kolch	For long distances, I use saucers. The best one is this...	NA	22	NA	red	kolch	0.75
1	NA	broff	The more teleporters, the better. My favorite one is this...	NA	23	NA	kolch	broff	0.78
1	NA	blue	What a nice color. I like flying this...	NA	24	NA	blue	broff	0.34
1	NA	NA	NA	NA	26	NA	kolch	green	0.75
1	NA	NA	NA	NA	27	NA	red	small	0.98
1	NA	NA	NA	NA	28	NA	broff	blue	0.18
1	NA	NA	NA	NA	29	NA	kolch	big	0.2
1	NA	NA	NA	NA	30	NA	broff	red	0.2
1	NA	NA	NA	NA	31	NA	kolch	blue	0.17
1	NA	NA	NA	NA	32	NA	green	broff	0.8
1	NA	NA	NA	NA	33	NA	big	green	0.17
1	NA	NA	NA	NA	34	NA	red	kolch	0.8
1	NA	NA	NA	NA	35	NA	broff	kolch	0.17
1	NA	NA	NA	NA	36	NA	small	kolch	0.17
1	NA	NA	NA	NA	37	NA	small	red	0
1	NA	NA	NA	NA	38	NA	broff	big	0.86
1	NA	NA	NA	NA	39	NA	broff	small	0.85
2	0	NA	NA	0.2	4	0.95	NA	NA	0
2	1	NA	NA	1	5	1	NA	NA	1
2	0	NA	NA	0.85	6	0.8	NA	NA	0.98
2	0	NA	NA	0.3	7	0.8	NA	NA	0.23
2	1	NA	NA	1	8	1	NA	NA	0.96
2	0	NA	NA	0.3	9	0.5	NA	NA	0.73
2	0	NA	NA	0.2	10	0.95	NA	NA	0.78
2	1	NA	NA	0	11	0	NA	NA	0.15
2	1	NA	NA	1	12	1	NA	NA	0.94
2	NA	broff	My first ship had the same shape as this...	NA	14	NA	broff	green	0.86
2	NA	NONE	On our planet, many aliens fly ships like this...	NA	15	NA	broff	blue	0.89
2	NA	physs	Wow, such a nice ship &#8210; I like this...	NA	16	NA	green	physs	0.13
2	NA	physs	You like it? Wow, I hate flying this...	NA	17	NA	physs	red	0.18
2	NA	broff	Humans think all of our ships look like saucers, like this...	NA	18	NA	blue	broff	0.09
2	NA	blue	What a nice color. I like flying this...	NA	19	NA	blue	physs	0.05
2	NA	NONE	My friend used to fly this...	NA	20	NA	physs	blue	0.91
2	NA	physs	The more teleporters, the better. My favorite one is this...	NA	21	NA	physs	broff	0.86
2	NA	physs	I really don&quotechart like ships like this...	NA	22	NA	broff	physs	0.19
2	NA	green	I like ships that have the same color as I have, like this...	NA	23	NA	broff	green	0.84
2	NA	broff	For long distances, I use rockets. The best one is this...	NA	24	NA	broff	green	0.9
2	NA	NA	NA	NA	26	NA	broff	physs	0.13
2	NA	NA	NA	NA	27	NA	broff	blue	0.79
2	NA	NA	NA	NA	28	NA	green	small	0.8
2	NA	NA	NA	NA	29	NA	red	broff	0.17
2	NA	NA	NA	NA	30	NA	big	red	0.17
2	NA	NA	NA	NA	31	NA	broff	big	0.8
2	NA	NA	NA	NA	32	NA	small	blue	0.13
2	NA	NA	NA	NA	33	NA	physs	small	0.85
2	NA	NA	NA	NA	34	NA	broff	small	0.9
2	NA	NA	NA	NA	35	NA	big	physs	0.09
2	NA	NA	NA	NA	36	NA	physs	blue	0.8
2	NA	NA	NA	NA	37	NA	red	physs	0.07
2	NA	NA	NA	NA	38	NA	physs	green	0.94
2	NA	NA	NA	NA	39	NA	green	broff	0.09
3	0	NA	NA	0.3	4	0.8	NA	NA	0.02
3	0	NA	NA	0.85	5	0.8	NA	NA	0.13
3	0	NA	NA	0.3	6	0.5	NA	NA	0.65
3	1	NA	NA	1	7	1	NA	NA	0.95
3	1	NA	NA	1	8	1	NA	NA	0.45
3	0	NA	NA	0.2	9	0.95	NA	NA	0.52
3	1	NA	NA	0	10	0	NA	NA	0.05
3	1	NA	NA	1	11	1	NA	NA	0.95
3	0	NA	NA	0.2	12	0.95	NA	NA	0.64
3	NA	broff	Wow, such a nice ship &#8210; I like this...	NA	14	NA	broff	red	0.1
3	NA	kolch	For long distances, I use saucers. The best one is this...	NA	15	NA	red	kolch	0.67
3	NA	blue	I like ships that have the same color as I have, like this...	NA	16	NA	kolch	blue	0.88
3	NA	broff	You like it? Wow, I hate flying this...	NA	17	NA	broff	blue	0.97
3	NA	NONE	On our planet, many aliens fly ships like this...	NA	18	NA	blue	kolch	0.04
3	NA	broff	I really don&quotechart like ships like this...	NA	19	NA	broff	kolch	0
3	NA	red	What a nice color. I like flying this...	NA	20	NA	broff	red	0.91
3	NA	broff	The more teleporters, the better. My favorite one is this...	NA	21	NA	broff	kolch	0.03
3	NA	NONE	My friend used to fly this...	NA	22	NA	green	broff	0.11
3	NA	kolch	My first ship had the same shape as this...	NA	23	NA	red	kolch	0.13
3	NA	kolch	Humans think all of our ships look like saucers, like this...	NA	24	NA	kolch	red	0.88
3	NA	NA	NA	NA	26	NA	big	green	0
3	NA	NA	NA	NA	27	NA	kolch	green	0.96
3	NA	NA	NA	NA	28	NA	small	green	0.07
3	NA	NA	NA	NA	29	NA	broff	kolch	0.04
3	NA	NA	NA	NA	30	NA	big	broff	0.03
3	NA	NA	NA	NA	31	NA	big	kolch	0.01
3	NA	NA	NA	NA	32	NA	blue	broff	0.02
3	NA	NA	NA	NA	33	NA	blue	kolch	0.03
3	NA	NA	NA	NA	34	NA	kolch	small	0.9
3	NA	NA	NA	NA	35	NA	red	kolch	0
3	NA	NA	NA	NA	36	NA	green	broff	0.09
3	NA	NA	NA	NA	37	NA	small	broff	0.1
3	NA	NA	NA	NA	38	NA	broff	red	1
3	NA	NA	NA	NA	39	NA	small	green	0.09
4	1	NA	NA	0	4	0	NA	NA	0.63
4	1	NA	NA	1	5	1	NA	NA	0.77
4	0	NA	NA	0.2	6	0.95	NA	NA	0.13
4	0	NA	NA	0.3	7	0.8	NA	NA	0.18
4	0	NA	NA	0.85	8	0.8	NA	NA	0.19
4	1	NA	NA	1	9	1	NA	NA	0.88
4	0	NA	NA	0.3	10	0.5	NA	NA	0.55
4	1	NA	NA	1	11	1	NA	NA	0.83
4	0	NA	NA	0.2	12	0.95	NA	NA	0.09
4	NA	NONE	My friend used to fly this...	NA	14	NA	green	glab	0.92
4	NA	plach	Humans think all of our ships look like saucers, like this...	NA	15	NA	red	plach	0.04
4	NA	green	I like ships that have the same color as I have, like this...	NA	16	NA	plach	green	0.92
4	NA	glab	You like it? Wow, I hate flying this...	NA	17	NA	glab	red	0.94
4	NA	plach	My first ship had the same shape as this...	NA	18	NA	blue	plach	0.1
4	NA	NONE	On our planet, many aliens fly ships like this...	NA	19	NA	green	plach	0.03
4	NA	glab	Wow, such a nice ship &#8210; I like this...	NA	20	NA	blue	glab	0.18
4	NA	red	What a nice color. I like flying this...	NA	21	NA	red	glab	0.18
4	NA	glab	The more teleporters, the better. My favorite one is this...	NA	22	NA	glab	plach	0.85
4	NA	plach	For long distances, I use saucers. The best one is this...	NA	23	NA	plach	red	0.96
4	NA	glab	I really don&quotechart like ships like this...	NA	24	NA	plach	glab	0.89
4	NA	NA	NA	NA	26	NA	small	glab	0.06
4	NA	NA	NA	NA	27	NA	red	big	0.96
4	NA	NA	NA	NA	28	NA	small	blue	0.13
4	NA	NA	NA	NA	29	NA	green	glab	0.08
4	NA	NA	NA	NA	30	NA	red	plach	0.07
4	NA	NA	NA	NA	31	NA	big	plach	0.09
4	NA	NA	NA	NA	32	NA	plach	glab	0.96
4	NA	NA	NA	NA	33	NA	red	glab	0.08
4	NA	NA	NA	NA	34	NA	blue	glab	0.09
4	NA	NA	NA	NA	35	NA	small	plach	0.18
4	NA	NA	NA	NA	36	NA	green	plach	0.08
4	NA	NA	NA	NA	37	NA	green	small	0.88
4	NA	NA	NA	NA	38	NA	plach	blue	0.95
4	NA	NA	NA	NA	39	NA	glab	big	0.94
5	1	NA	NA	1	4	1	NA	NA	1
5	0	NA	NA	0.2	5	0.95	NA	NA	1
5	1	NA	NA	1	6	1	NA	NA	1
5	1	NA	NA	1	7	1	NA	NA	1
5	0	NA	NA	0.3	8	0.5	NA	NA	1
5	0	NA	NA	0.85	9	0.8	NA	NA	0.49
5	0	NA	NA	0.2	10	0.95	NA	NA	0
5	0	NA	NA	0.3	11	0.8	NA	NA	0.52
5	1	NA	NA	0	12	0	NA	NA	0.48
5	NA	NONE	My friend used to fly this...	NA	14	NA	lann	red	0
5	NA	green	What a nice color. I like flying this...	NA	15	NA	green	lann	0
5	NA	lann	Wow, such a nice ship &#8210; I like this...	NA	16	NA	blue	lann	1
5	NA	glab	My first ship had the same shape as this...	NA	17	NA	glab	blue	0
5	NA	lann	The more teleporters, the better. My favorite one is this...	NA	18	NA	glab	lann	0
5	NA	glab	Humans think all of our ships look like saucers, like this...	NA	19	NA	blue	glab	0
5	NA	lann	You like it? Wow, I hate flying this...	NA	20	NA	lann	green	1
5	NA	glab	For long distances, I use rockets. The best one is this...	NA	21	NA	blue	glab	0
5	NA	blue	I like ships that have the same color as I have, like this...	NA	22	NA	blue	glab	0
5	NA	lann	I really don&quotechart like ships like this...	NA	23	NA	glab	lann	1
5	NA	NONE	On our planet, many aliens fly ships like this...	NA	24	NA	glab	red	1
5	NA	NA	NA	NA	26	NA	red	lann	0
5	NA	NA	NA	NA	27	NA	small	glab	0
5	NA	NA	NA	NA	28	NA	glab	lann	1
5	NA	NA	NA	NA	29	NA	big	lann	0
5	NA	NA	NA	NA	30	NA	glab	blue	0
5	NA	NA	NA	NA	31	NA	glab	green	1
5	NA	NA	NA	NA	32	NA	small	blue	0
5	NA	NA	NA	NA	33	NA	big	glab	0
5	NA	NA	NA	NA	34	NA	lann	blue	1
5	NA	NA	NA	NA	35	NA	red	big	1
5	NA	NA	NA	NA	36	NA	lann	small	1
5	NA	NA	NA	NA	37	NA	red	small	1
5	NA	NA	NA	NA	38	NA	green	lann	0
5	NA	NA	NA	NA	39	NA	glab	red	1
6	0	NA	NA	0.85	4	0.8	NA	NA	1
6	0	NA	NA	0.2	5	0.95	NA	NA	0.44
6	0	NA	NA	0.3	6	0.5	NA	NA	0.76
6	1	NA	NA	0	7	0	NA	NA	0.6
6	0	NA	NA	0.2	8	0.95	NA	NA	0.37
6	1	NA	NA	1	9	1	NA	NA	0.91
6	1	NA	NA	1	10	1	NA	NA	0.89
6	0	NA	NA	0.3	11	0.8	NA	NA	0.53
6	1	NA	NA	1	12	1	NA	NA	0.99
6	NA	red	What a nice color. I like flying this...	NA	14	NA	red	kolch	0.75
6	NA	plach	Humans think all of our ships look like rockets, like this...	NA	15	NA	green	plach	0.67
6	NA	kolch	You like it? Wow, I hate flying this...	NA	16	NA	kolch	blue	0.03
6	NA	NONE	On our planet, many aliens fly ships like this...	NA	17	NA	green	plach	0.99
6	NA	kolch	I really don&quotechart like ships like this...	NA	18	NA	kolch	plach	0.26
6	NA	NONE	My friend used to fly this...	NA	19	NA	blue	kolch	0.87
6	NA	kolch	Wow, such a nice ship &#8210; I like this...	NA	20	NA	blue	kolch	0.79
6	NA	plach	My first ship had the same shape as this...	NA	21	NA	plach	red	0.76
6	NA	plach	For long distances, I use rockets. The best one is this...	NA	22	NA	green	plach	0.81
6	NA	kolch	The more teleporters, the better. My favorite one is this...	NA	23	NA	plach	kolch	0.27
6	NA	green	I like ships that have the same color as I have, like this...	NA	24	NA	plach	green	0.84
6	NA	NA	NA	NA	26	NA	big	blue	0
6	NA	NA	NA	NA	27	NA	plach	green	0.99
6	NA	NA	NA	NA	28	NA	green	small	0.95
6	NA	NA	NA	NA	29	NA	kolch	red	0.76
6	NA	NA	NA	NA	30	NA	small	kolch	0.01
6	NA	NA	NA	NA	31	NA	kolch	green	0.98
6	NA	NA	NA	NA	32	NA	green	big	0.99
6	NA	NA	NA	NA	33	NA	big	plach	0.03
6	NA	NA	NA	NA	34	NA	plach	red	0.97
6	NA	NA	NA	NA	35	NA	plach	blue	0.99
6	NA	NA	NA	NA	36	NA	plach	kolch	0.04
6	NA	NA	NA	NA	37	NA	kolch	big	0.92
6	NA	NA	NA	NA	38	NA	kolch	blue	0.95
6	NA	NA	NA	NA	39	NA	plach	small	0.96
7	1	NA	NA	0	4	0	NA	NA	0
7	0	NA	NA	0.3	5	0.8	NA	NA	0.34
7	1	NA	NA	1	6	1	NA	NA	1
7	1	NA	NA	1	7	1	NA	NA	1
7	0	NA	NA	0.85	8	0.8	NA	NA	0.74
7	1	NA	NA	1	9	1	NA	NA	0.98
7	0	NA	NA	0.2	10	0.95	NA	NA	0.26
7	0	NA	NA	0.3	11	0.5	NA	NA	0.29
7	0	NA	NA	0.2	12	0.95	NA	NA	0.13
7	NA	kolch	You like it? Wow, I hate flying this...	NA	14	NA	kolch	green	1
7	NA	NONE	On our planet, many aliens fly ships like this...	NA	15	NA	physs	green	0.98
7	NA	physs	Humans think all of our ships look like rockets, like this...	NA	16	NA	physs	blue	0.75
7	NA	blue	I like ships that have the same color as I have, like this...	NA	17	NA	blue	physs	0
7	NA	physs	For long distances, I use rockets. The best one is this...	NA	18	NA	green	physs	0
7	NA	kolch	The more teleporters, the better. My favorite one is this...	NA	19	NA	kolch	physs	1
7	NA	red	What a nice color. I like flying this...	NA	20	NA	red	kolch	0
7	NA	NONE	My friend used to fly this...	NA	21	NA	kolch	blue	1
7	NA	kolch	Wow, such a nice ship &#8210; I like this...	NA	22	NA	blue	kolch	0.01
7	NA	physs	My first ship had the same shape as this...	NA	23	NA	physs	blue	0.95
7	NA	kolch	I really don&quotechart like ships like this...	NA	24	NA	physs	kolch	0.06
7	NA	NA	NA	NA	26	NA	physs	small	0.96
7	NA	NA	NA	NA	27	NA	kolch	big	1
7	NA	NA	NA	NA	28	NA	green	kolch	0
7	NA	NA	NA	NA	29	NA	physs	red	1
7	NA	NA	NA	NA	30	NA	physs	big	1
7	NA	NA	NA	NA	31	NA	big	green	0.99
7	NA	NA	NA	NA	32	NA	blue	big	1
7	NA	NA	NA	NA	33	NA	blue	kolch	0.01
7	NA	NA	NA	NA	34	NA	kolch	red	1
7	NA	NA	NA	NA	35	NA	small	blue	1
7	NA	NA	NA	NA	36	NA	physs	blue	1
7	NA	NA	NA	NA	37	NA	physs	green	1
7	NA	NA	NA	NA	38	NA	physs	kolch	1
7	NA	NA	NA	NA	39	NA	kolch	small	1
8	0	NA	NA	0.2	4	0.95	NA	NA	0.06
8	0	NA	NA	0.3	5	0.8	NA	NA	0.98
8	1	NA	NA	1	6	1	NA	NA	0.85
8	0	NA	NA	0.3	7	0.5	NA	NA	0.86
8	0	NA	NA	0.2	8	0.95	NA	NA	0.59
8	1	NA	NA	1	9	1	NA	NA	0.98
8	1	NA	NA	1	10	1	NA	NA	0.94
8	0	NA	NA	0.85	11	0.8	NA	NA	0.96
8	1	NA	NA	0	12	0	NA	NA	0.68
8	NA	scrib	Humans think all of our ships look like saucers, like this...	NA	14	NA	green	scrib	0.88
8	NA	kolch	The more teleporters, the better. My favorite one is this...	NA	15	NA	scrib	kolch	0.96
8	NA	scrib	My first ship had the same shape as this...	NA	16	NA	scrib	blue	0.03
8	NA	blue	What a nice color. I like flying this...	NA	17	NA	blue	kolch	0.33
8	NA	kolch	You like it? Wow, I hate flying this...	NA	18	NA	kolch	red	0.67
8	NA	blue	I like ships that have the same color as I have, like this...	NA	19	NA	blue	scrib	0.22
8	NA	NONE	My friend used to fly this...	NA	20	NA	kolch	red	0.76
8	NA	NONE	On our planet, many aliens fly ships like this...	NA	21	NA	scrib	green	0.54
8	NA	scrib	For long distances, I use saucers. The best one is this...	NA	22	NA	red	scrib	0.84
8	NA	kolch	I really don&quotechart like ships like this...	NA	23	NA	scrib	kolch	0.04
8	NA	kolch	Wow, such a nice ship &#8210; I like this...	NA	24	NA	kolch	red	0.61
8	NA	NA	NA	NA	26	NA	big	green	0.04
8	NA	NA	NA	NA	27	NA	big	scrib	0.03
8	NA	NA	NA	NA	28	NA	scrib	small	0.96
8	NA	NA	NA	NA	29	NA	big	kolch	0.06
8	NA	NA	NA	NA	30	NA	red	small	0.95
8	NA	NA	NA	NA	31	NA	kolch	small	0.74
8	NA	NA	NA	NA	32	NA	small	red	0.02
8	NA	NA	NA	NA	33	NA	scrib	red	0.91
8	NA	NA	NA	NA	34	NA	red	kolch	0.17
8	NA	NA	NA	NA	35	NA	kolch	green	0.82
8	NA	NA	NA	NA	36	NA	scrib	blue	0.94
8	NA	NA	NA	NA	37	NA	blue	kolch	0.12
8	NA	NA	NA	NA	38	NA	kolch	scrib	0.95
8	NA	NA	NA	NA	39	NA	green	scrib	0.01
